"seller","day_of_week","income"
Stearns MacFeather,Tuesday  ,16130.0
Cheryl Carson,Monday   ,11087.0
Anne Ringer,Saturday ,4228.0
Burt Gringlesby,Monday   ,18687.0
Burt Gringlesby,Friday   ,22089.0
Innes del Castillo,Sunday   ,25575.0
Dean Straight,Thursday ,21902.0
Morningstar Greene,Friday   ,13929.0
Stearns MacFeather,Tuesday  ,16953.0
Morningstar Greene,Sunday   ,14822.0
Johnson White,Thursday ,29114.0
Morningstar Greene,Sunday   ,12484.0
Stearns MacFeather,Thursday ,10989.0
Abraham Bennet,Sunday   ,45959.0
Dean Straight,Sunday   ,17831.0
Sylvia Panteley,Monday   ,21485.0
Reginald Blotchet-Halls,Sunday   ,17015.0
Michael O'Leary,Thursday ,18773.0
Dirk Stringer,Thursday ,16311.0
Dean Straight,Friday   ,20681.0
Anne Ringer,Wednesday,9210.0
Dirk Stringer,Tuesday  ,19080.0
Livia Karsen,Friday   ,8731.0
Meander Smith,Wednesday,9887.0
Michel DeFrance,Thursday ,30997.0
Albert Ringer,Thursday ,42501.0
Cheryl Carson,Thursday ,15590.0
Marjorie Green,Sunday   ,29867.0
Morningstar Greene,Monday   ,14083.0
Johnson White,Saturday ,30632.0
Michel DeFrance,Saturday ,32393.0
Burt Gringlesby,Saturday ,18177.0
Michel DeFrance,Thursday ,29138.0
Livia Karsen,Sunday   ,9615.0
Reginald Blotchet-Halls,Saturday ,21006.0
Livia Karsen,Friday   ,11648.0
Charlene Locksley,Thursday ,25772.0
Albert Ringer,Saturday ,29078.0
Ann Dull,Wednesday,37825.0
Johnson White,Wednesday,29877.0
Abraham Bennet,Thursday ,41906.0
Dirk Stringer,Tuesday  ,16554.0
Reginald Blotchet-Halls,Friday   ,18779.0
Marjorie Green,Thursday ,29099.0
Ann Dull,Monday   ,36422.0
Sylvia Panteley,Thursday ,17040.0
Michael O'Leary,Wednesday,21200.0
Dirk Stringer,Thursday ,19686.0
Marjorie Green,Sunday   ,37600.0
Albert Ringer,Sunday   ,30705.0
Dirk Stringer,Monday   ,16233.0
Livia Karsen,Saturday ,13453.0
Heather McBadden,Wednesday,15882.0
Marjorie Green,Thursday ,34151.0
Meander Smith,Saturday ,10546.0
Michael O'Leary,Thursday ,24328.0
Albert Ringer,Thursday ,41442.0
Stearns MacFeather,Monday   ,23970.0
Michel DeFrance,Sunday   ,32987.0
Charlene Locksley,Wednesday,21929.0
Burt Gringlesby,Saturday ,21625.0
Charlene Locksley,Saturday ,15828.0
Burt Gringlesby,Thursday ,25376.0
Ann Dull,Friday   ,30906.0
Livia Karsen,Wednesday,14546.0
Innes del Castillo,Sunday   ,24707.0
Dean Straight,Monday   ,17708.0
Marjorie Green,Thursday ,35715.0
Sylvia Panteley,Monday   ,15221.0
Michel DeFrance,Wednesday,27634.0
Marjorie Green,Tuesday  ,26672.0
Michael O'Leary,Friday   ,20187.0
Dirk Stringer,Wednesday,18876.0
Michel DeFrance,Thursday ,24418.0
Sylvia Panteley,Tuesday  ,19618.0
Reginald Blotchet-Halls,Thursday ,16674.0
Marjorie Green,Saturday ,32174.0
Heather McBadden,Sunday   ,10083.0
Meander Smith,Saturday ,11040.0
Morningstar Greene,Wednesday,18757.0
Meander Smith,Saturday ,11094.0
Charlene Locksley,Friday   ,30366.0
Sheryl Hunter,Thursday ,18834.0
Ann Dull,Saturday ,41420.0
Cheryl Carson,Saturday ,14774.0
Albert Ringer,Friday   ,32332.0
Heather McBadden,Saturday ,20046.0
Anne Ringer,Wednesday,9136.0
Michael O'Leary,Thursday ,17455.0
Dean Straight,Sunday   ,19292.0
Abraham Bennet,Saturday ,49968.0
Reginald Blotchet-Halls,Thursday ,16220.0
Sylvia Panteley,Wednesday,18241.0
Reginald Blotchet-Halls,Saturday ,26054.0
Johnson White,Wednesday,30630.0
Dirk Stringer,Wednesday,11265.0
Ann Dull,Sunday   ,31940.0
Albert Ringer,Saturday ,29189.0
Johnson White,Wednesday,40670.0
Innes del Castillo,Tuesday  ,27862.0
Livia Karsen,Thursday ,13661.0
Abraham Bennet,Friday   ,47708.0
Reginald Blotchet-Halls,Tuesday  ,16971.0
Reginald Blotchet-Halls,Friday   ,25166.0
Stearns MacFeather,Sunday   ,16456.0
Reginald Blotchet-Halls,Thursday ,26899.0
Albert Ringer,Friday   ,28860.0
Sylvia Panteley,Saturday ,19311.0
Ann Dull,Thursday ,34144.0
Cheryl Carson,Thursday ,13017.0
Cheryl Carson,Monday   ,15901.0
Michael O'Leary,Monday   ,17979.0
Johnson White,Saturday ,31998.0
Sylvia Panteley,Tuesday  ,21174.0
Ann Dull,Wednesday,38273.0
Sheryl Hunter,Saturday ,13233.0
Morningstar Greene,Sunday   ,15794.0
Stearns MacFeather,Thursday ,15483.0
Johnson White,Thursday ,27533.0
Anne Ringer,Friday   ,14532.0
Sheryl Hunter,Saturday ,21148.0
Innes del Castillo,Monday   ,21776.0
Reginald Blotchet-Halls,Monday   ,24246.0
Marjorie Green,Friday   ,26681.0
Sylvia Panteley,Sunday   ,19192.0
Livia Karsen,Monday   ,10109.0
Michael O'Leary,Monday   ,18129.0
Innes del Castillo,Monday   ,26733.0
Sheryl Hunter,Friday   ,17131.0
Burt Gringlesby,Tuesday  ,23142.0
Dean Straight,Sunday   ,22194.0
Albert Ringer,Saturday ,25974.0
Sylvia Panteley,Friday   ,12707.0
Marjorie Green,Wednesday,33094.0
Anne Ringer,Sunday   ,13571.0
Anne Ringer,Sunday   ,9949.0
Stearns MacFeather,Thursday ,15933.0
Johnson White,Saturday ,28612.0
Ann Dull,Monday   ,38694.0
Dirk Stringer,Saturday ,18672.0
Stearns MacFeather,Friday   ,21014.0
Michael O'Leary,Sunday   ,18758.0
Albert Ringer,Wednesday,42564.0
Michel DeFrance,Monday   ,25031.0
Anne Ringer,Saturday ,7850.0
Cheryl Carson,Friday   ,18567.0
Heather McBadden,Wednesday,16651.0
Meander Smith,Friday   ,7687.0
Sheryl Hunter,Thursday ,19577.0
Morningstar Greene,Tuesday  ,23727.0
Stearns MacFeather,Monday   ,13548.0
Sylvia Panteley,Wednesday,20526.0
Morningstar Greene,Tuesday  ,11102.0
Dean Straight,Sunday   ,19582.0
Michael O'Leary,Saturday ,21817.0
Albert Ringer,Wednesday,33981.0
Dean Straight,Friday   ,21503.0
Reginald Blotchet-Halls,Thursday ,22703.0
Reginald Blotchet-Halls,Monday   ,24183.0
Innes del Castillo,Saturday ,30906.0
Marjorie Green,Tuesday  ,33108.0
Johnson White,Thursday ,28401.0
Heather McBadden,Tuesday  ,19222.0
Burt Gringlesby,Wednesday,24485.0
Meander Smith,Monday   ,9021.0
Burt Gringlesby,Saturday ,23873.0
Stearns MacFeather,Friday   ,13522.0
Stearns MacFeather,Tuesday  ,24675.0
Dean Straight,Wednesday,22661.0
Heather McBadden,Tuesday  ,20713.0
Johnson White,Wednesday,40214.0
Heather McBadden,Saturday ,20216.0
Dirk Stringer,Sunday   ,17172.0
Stearns MacFeather,Friday   ,20709.0
Michel DeFrance,Monday   ,25169.0
Cheryl Carson,Tuesday  ,15170.0
Cheryl Carson,Tuesday  ,14187.0
Albert Ringer,Saturday ,28164.0
Morningstar Greene,Wednesday,14418.0
Livia Karsen,Thursday ,10373.0
Charlene Locksley,Tuesday  ,18763.0
Sylvia Panteley,Thursday ,25831.0
Sylvia Panteley,Tuesday  ,17219.0
Dirk Stringer,Monday   ,14052.0
Sheryl Hunter,Tuesday  ,19048.0
Sylvia Panteley,Friday   ,24256.0
Ann Dull,Monday   ,33965.0
Charlene Locksley,Tuesday  ,24769.0
Michael O'Leary,Monday   ,20352.0
Anne Ringer,Tuesday  ,11176.0
Dirk Stringer,Sunday   ,25608.0
Cheryl Carson,Wednesday,11461.0
Meander Smith,Saturday ,15620.0
Johnson White,Wednesday,16806.0
Dirk Stringer,Thursday ,14889.0
Stearns MacFeather,Monday   ,17455.0
Abraham Bennet,Sunday   ,59363.0
Stearns MacFeather,Saturday ,13410.0
Reginald Blotchet-Halls,Friday   ,23297.0
Dirk Stringer,Sunday   ,18960.0
Sylvia Panteley,Saturday ,17589.0
Ann Dull,Friday   ,30843.0
Innes del Castillo,Wednesday,25887.0
Meander Smith,Tuesday  ,10201.0
Morningstar Greene,Sunday   ,19689.0
Livia Karsen,Friday   ,11039.0
Johnson White,Friday   ,40991.0
Sylvia Panteley,Saturday ,20478.0
Morningstar Greene,Wednesday,25903.0
Reginald Blotchet-Halls,Friday   ,24108.0
Cheryl Carson,Friday   ,16806.0
Meander Smith,Tuesday  ,9293.0
Innes del Castillo,Thursday ,25450.0
Heather McBadden,Tuesday  ,21103.0
Livia Karsen,Monday   ,15429.0
Michael O'Leary,Tuesday  ,23515.0
Marjorie Green,Sunday   ,38115.0
Charlene Locksley,Saturday ,21489.0
Marjorie Green,Friday   ,28526.0
Cheryl Carson,Monday   ,21428.0
Marjorie Green,Friday   ,32413.0
Burt Gringlesby,Tuesday  ,20889.0
Heather McBadden,Friday   ,22636.0
Abraham Bennet,Wednesday,44126.0
Morningstar Greene,Thursday ,14142.0
Anne Ringer,Sunday   ,12758.0
Stearns MacFeather,Wednesday,12027.0
Meander Smith,Thursday ,9354.0
Dean Straight,Wednesday,21853.0
Cheryl Carson,Tuesday  ,20418.0
Abraham Bennet,Tuesday  ,55925.0
Meander Smith,Thursday ,11868.0
Charlene Locksley,Monday   ,23908.0
Heather McBadden,Tuesday  ,19560.0
Sheryl Hunter,Saturday ,20152.0
Anne Ringer,Sunday   ,8870.0
Anne Ringer,Monday   ,10496.0
Ann Dull,Wednesday,34057.0
Michael O'Leary,Wednesday,27608.0
Marjorie Green,Saturday ,30953.0
Michael O'Leary,Friday   ,24193.0
Michael O'Leary,Sunday   ,22420.0
Heather McBadden,Wednesday,14312.0
Marjorie Green,Sunday   ,24229.0
Morningstar Greene,Tuesday  ,19712.0
Michel DeFrance,Saturday ,24138.0
Innes del Castillo,Sunday   ,21978.0
Meander Smith,Sunday   ,13685.0
Innes del Castillo,Tuesday  ,27770.0
Burt Gringlesby,Wednesday,26967.0
Innes del Castillo,Monday   ,28082.0
Stearns MacFeather,Saturday ,22385.0
Michael O'Leary,Wednesday,18996.0
Morningstar Greene,Thursday ,13702.0
Albert Ringer,Sunday   ,31406.0
Dirk Stringer,Friday   ,13536.0
Sheryl Hunter,Sunday   ,20061.0
Livia Karsen,Saturday ,14154.0
Innes del Castillo,Monday   ,24392.0
Dirk Stringer,Tuesday  ,14073.0
Sylvia Panteley,Tuesday  ,15260.0
Dirk Stringer,Wednesday,11817.0
Marjorie Green,Thursday ,23580.0
Stearns MacFeather,Sunday   ,15601.0
Sylvia Panteley,Wednesday,18397.0
Dean Straight,Sunday   ,24423.0
Livia Karsen,Sunday   ,14886.0
Cheryl Carson,Tuesday  ,12803.0
Charlene Locksley,Saturday ,24424.0
Anne Ringer,Tuesday  ,13438.0
Cheryl Carson,Monday   ,12395.0
Livia Karsen,Saturday ,11604.0
Dean Straight,Sunday   ,19059.0
Cheryl Carson,Monday   ,17304.0
Sheryl Hunter,Tuesday  ,15826.0
Reginald Blotchet-Halls,Saturday ,18434.0
Morningstar Greene,Saturday ,18124.0
Burt Gringlesby,Sunday   ,22898.0
Livia Karsen,Monday   ,11684.0
Johnson White,Saturday ,26774.0
Dirk Stringer,Tuesday  ,13107.0
Sylvia Panteley,Sunday   ,21793.0
Reginald Blotchet-Halls,Friday   ,21566.0
Burt Gringlesby,Friday   ,21490.0
Stearns MacFeather,Friday   ,20331.0
Heather McBadden,Sunday   ,21013.0
Marjorie Green,Sunday   ,34238.0
Michel DeFrance,Monday   ,25338.0
Cheryl Carson,Friday   ,11849.0
Dean Straight,Sunday   ,17294.0
Morningstar Greene,Sunday   ,16539.0
Burt Gringlesby,Monday   ,25570.0
Burt Gringlesby,Wednesday,29447.0
Stearns MacFeather,Tuesday  ,14342.0
Dean Straight,Saturday ,19999.0
Burt Gringlesby,Sunday   ,24688.0
Michel DeFrance,Tuesday  ,27114.0
Albert Ringer,Wednesday,26147.0
Abraham Bennet,Tuesday  ,46753.0
Johnson White,Saturday ,32725.0
Reginald Blotchet-Halls,Thursday ,16314.0
Charlene Locksley,Thursday ,24024.0
Heather McBadden,Tuesday  ,15943.0
Dean Straight,Monday   ,19344.0
Stearns MacFeather,Friday   ,17891.0
Abraham Bennet,Monday   ,42405.0
Reginald Blotchet-Halls,Wednesday,18775.0
Innes del Castillo,Tuesday  ,25979.0
Albert Ringer,Sunday   ,31936.0
Ann Dull,Monday   ,38245.0
Michael O'Leary,Thursday ,23036.0
Anne Ringer,Wednesday,14177.0
Charlene Locksley,Saturday ,24000.0
Burt Gringlesby,Tuesday  ,23363.0
Dean Straight,Sunday   ,21500.0
Dean Straight,Monday   ,19427.0
Livia Karsen,Sunday   ,14957.0
Anne Ringer,Thursday ,11457.0
Heather McBadden,Tuesday  ,20815.0
Dirk Stringer,Wednesday,14163.0
Albert Ringer,Monday   ,36034.0
Abraham Bennet,Sunday   ,58892.0
Cheryl Carson,Wednesday,14359.0
Abraham Bennet,Tuesday  ,55174.0
Reginald Blotchet-Halls,Wednesday,12840.0
Heather McBadden,Wednesday,20699.0
Charlene Locksley,Thursday ,26495.0
Dirk Stringer,Wednesday,17016.0
Johnson White,Saturday ,32237.0
Heather McBadden,Saturday ,15960.0
Sylvia Panteley,Friday   ,16184.0
Johnson White,Friday   ,28659.0
Reginald Blotchet-Halls,Monday   ,14602.0
Burt Gringlesby,Sunday   ,19224.0
Reginald Blotchet-Halls,Friday   ,17123.0
Morningstar Greene,Saturday ,18622.0
Morningstar Greene,Tuesday  ,12320.0
Marjorie Green,Tuesday  ,33080.0
Livia Karsen,Tuesday  ,12579.0
Cheryl Carson,Sunday   ,15774.0
Marjorie Green,Tuesday  ,35356.0
Sylvia Panteley,Friday   ,17196.0
Dean Straight,Friday   ,24009.0
Innes del Castillo,Friday   ,16487.0
Morningstar Greene,Wednesday,20889.0
Sheryl Hunter,Monday   ,18962.0
Heather McBadden,Wednesday,21800.0
Livia Karsen,Saturday ,15704.0
Abraham Bennet,Wednesday,49032.0
Morningstar Greene,Tuesday  ,15517.0
Johnson White,Saturday ,37019.0
Dean Straight,Tuesday  ,17219.0
Reginald Blotchet-Halls,Sunday   ,16256.0
Michel DeFrance,Monday   ,30388.0
Albert Ringer,Tuesday  ,37137.0
Dirk Stringer,Friday   ,19686.0
Heather McBadden,Saturday ,20295.0
Livia Karsen,Tuesday  ,13326.0
Innes del Castillo,Tuesday  ,22351.0
Sylvia Panteley,Thursday ,20894.0
Livia Karsen,Sunday   ,12970.0
Dirk Stringer,Monday   ,17220.0
Johnson White,Sunday   ,32885.0
Marjorie Green,Wednesday,29911.0
Innes del Castillo,Saturday ,19737.0
Ann Dull,Tuesday  ,27143.0
Charlene Locksley,Wednesday,31735.0
Morningstar Greene,Tuesday  ,21032.0
Cheryl Carson,Thursday ,11881.0
Michel DeFrance,Wednesday,31028.0
Anne Ringer,Friday   ,7229.0
Ann Dull,Wednesday,39263.0
Burt Gringlesby,Sunday   ,17068.0
Anne Ringer,Wednesday,8249.0
Michael O'Leary,Wednesday,21019.0
Meander Smith,Thursday ,10941.0
Sheryl Hunter,Sunday   ,20317.0
Anne Ringer,Thursday ,8456.0
Sylvia Panteley,Tuesday  ,16798.0
Reginald Blotchet-Halls,Wednesday,18200.0
Abraham Bennet,Thursday ,48792.0
Livia Karsen,Tuesday  ,15740.0
Burt Gringlesby,Sunday   ,15522.0
Morningstar Greene,Monday   ,13893.0
Michael O'Leary,Friday   ,25117.0
Anne Ringer,Saturday ,11930.0
Livia Karsen,Sunday   ,20380.0
Ann Dull,Friday   ,35518.0
Michael O'Leary,Thursday ,24466.0
Abraham Bennet,Wednesday,46120.0
Livia Karsen,Saturday ,10281.0
Albert Ringer,Monday   ,32332.0
Heather McBadden,Wednesday,12970.0
Michel DeFrance,Tuesday  ,25549.0
Abraham Bennet,Tuesday  ,41891.0
Michael O'Leary,Tuesday  ,21324.0
Albert Ringer,Friday   ,26268.0
Meander Smith,Sunday   ,9787.0
Charlene Locksley,Wednesday,26772.0
Albert Ringer,Wednesday,33913.0
Cheryl Carson,Thursday ,14391.0
Ann Dull,Monday   ,27655.0
Charlene Locksley,Friday   ,26843.0
Dirk Stringer,Friday   ,22716.0
Innes del Castillo,Sunday   ,19385.0
Heather McBadden,Saturday ,19085.0
Michel DeFrance,Sunday   ,25852.0
Meander Smith,Monday   ,13439.0
Abraham Bennet,Tuesday  ,46665.0
Albert Ringer,Monday   ,46961.0
Johnson White,Monday   ,32104.0
Sheryl Hunter,Wednesday,21282.0
Anne Ringer,Tuesday  ,11324.0
Heather McBadden,Saturday ,19047.0
Stearns MacFeather,Thursday ,17779.0
Innes del Castillo,Tuesday  ,22494.0
Cheryl Carson,Thursday ,20419.0
Dirk Stringer,Thursday ,13209.0
Burt Gringlesby,Tuesday  ,23638.0
Sylvia Panteley,Wednesday,20181.0
Burt Gringlesby,Saturday ,21156.0
Sheryl Hunter,Wednesday,14249.0
Abraham Bennet,Wednesday,41577.0
Anne Ringer,Sunday   ,11324.0
Cheryl Carson,Sunday   ,14141.0
Heather McBadden,Thursday ,20195.0
Reginald Blotchet-Halls,Tuesday  ,16063.0
Marjorie Green,Tuesday  ,42728.0
Stearns MacFeather,Thursday ,10143.0
Michael O'Leary,Saturday ,26742.0
Michel DeFrance,Sunday   ,19886.0
Anne Ringer,Saturday ,13364.0
Dean Straight,Friday   ,16636.0
Meander Smith,Wednesday,9454.0
Heather McBadden,Thursday ,28292.0
Sheryl Hunter,Thursday ,14325.0
Morningstar Greene,Friday   ,16009.0
Burt Gringlesby,Sunday   ,28973.0
Sheryl Hunter,Monday   ,15781.0
Albert Ringer,Tuesday  ,24129.0
Ann Dull,Saturday ,34518.0
Anne Ringer,Monday   ,7096.0
Anne Ringer,Tuesday  ,8796.0
Innes del Castillo,Friday   ,24068.0
Michel DeFrance,Wednesday,31369.0
Anne Ringer,Thursday ,8796.0
Sheryl Hunter,Wednesday,18262.0
Charlene Locksley,Friday   ,23332.0
Meander Smith,Saturday ,8699.0
Reginald Blotchet-Halls,Wednesday,15363.0
Innes del Castillo,Thursday ,25810.0
Dean Straight,Wednesday,23894.0
Livia Karsen,Monday   ,13234.0
Sheryl Hunter,Saturday ,16297.0
Charlene Locksley,Sunday   ,30101.0
Dirk Stringer,Sunday   ,18024.0
Livia Karsen,Friday   ,19156.0
Johnson White,Monday   ,32851.0
Burt Gringlesby,Sunday   ,17500.0
Reginald Blotchet-Halls,Wednesday,20395.0
Innes del Castillo,Sunday   ,31887.0
Marjorie Green,Wednesday,26822.0
Meander Smith,Saturday ,8580.0
Michael O'Leary,Sunday   ,25455.0
Innes del Castillo,Tuesday  ,31881.0
Ann Dull,Thursday ,35880.0
Michel DeFrance,Thursday ,32600.0
Sylvia Panteley,Sunday   ,16858.0
Heather McBadden,Thursday ,20838.0
Cheryl Carson,Monday   ,15340.0
Michel DeFrance,Monday   ,30867.0
Charlene Locksley,Friday   ,21111.0
Livia Karsen,Monday   ,11110.0
Heather McBadden,Monday   ,19130.0
Burt Gringlesby,Monday   ,21744.0
Charlene Locksley,Friday   ,29883.0
Michel DeFrance,Saturday ,31070.0
Dean Straight,Saturday ,20163.0
Reginald Blotchet-Halls,Tuesday  ,20119.0
